trade_id,ticker,side,datetime,price,shares,reason,pnl_inr,pnl_pct
TCS.NS-00038,TCS.NS,BUY,2024-07-18,4234.861978,11,entry_bb_breakout,,
TCS.NS-00038,TCS.NS,SELL,2024-08-01,4320.586673,11,exit_max_hold,895.916673,1.92325
TCS.NS-00039,TCS.NS,BUY,2024-11-25,4254.610129,11,entry_bb_breakout,,
TCS.NS-00039,TCS.NS,SELL,2024-12-09,4385.351149,11,exit_max_hold,1390.631441,2.97139
HDFCBANK.NS-00001,HDFCBANK.NS,BUY,2015-06-25,235.34874,212,entry_bb_breakout,,
HDFCBANK.NS-00001,HDFCBANK.NS,SELL,2015-07-09,238.893631,212,exit_max_hold,701.24716,1.405476
HDFCBANK.NS-00002,HDFCBANK.NS,BUY,2015-10-05,244.54291,204,entry_bb_breakout,,
HDFCBANK.NS-00002,HDFCBANK.NS,SELL,2015-10-19,244.176191,204,exit_max_hold,-124.660177,-0.249886
HDFCBANK.NS-00003,HDFCBANK.NS,BUY,2016-04-26,247.9939,201,entry_bb_breakout,,
HDFCBANK.NS-00003,HDFCBANK.NS,SELL,2016-05-10,254.652365,201,exit_max_hold,1287.835552,2.583589
HDFCBANK.NS-00004,HDFCBANK.NS,BUY,2016-06-29,264.422276,189,entry_bb_breakout,,
HDFCBANK.NS-00004,HDFCBANK.NS,SELL,2016-07-14,271.404635,189,exit_max_hold,1269.030282,2.539289
HDFCBANK.NS-00005,HDFCBANK.NS,BUY,2016-07-15,276.960982,180,entry_bb_breakout,,
HDFCBANK.NS-00005,HDFCBANK.NS,SELL,2016-07-29,281.771489,180,exit_max_hold,815.605294,1.636021
HDFCBANK.NS-00006,HDFCBANK.NS,BUY,2016-08-24,285.584249,175,entry_bb_breakout,,
HDFCBANK.NS-00006,HDFCBANK.NS,SELL,2016-08-29,279.940099,175,exit_mean_reversion,-1037.209629,-2.075364
HDFCBANK.NS-00007,HDFCBANK.NS,BUY,2016-08-30,287.134554,174,entry_bb_breakout,,
HDFCBANK.NS-00007,HDFCBANK.NS,SELL,2016-09-15,289.323406,174,exit_max_hold,330.708353,0.661928
HDFCBANK.NS-00008,HDFCBANK.NS,BUY,2016-12-29,272.773831,183,entry_bb_breakout,,
HDFCBANK.NS-00008,HDFCBANK.NS,SELL,2017-01-04,268.04697,183,exit_mean_reversion,-914.500612,-1.83202
HDFCBANK.NS-00009,HDFCBANK.NS,BUY,2017-01-10,274.844782,181,entry_bb_breakout,,
HDFCBANK.NS-00009,HDFCBANK.NS,SELL,2017-01-24,286.598816,181,exit_max_hold,2076.669638,4.17447
HDFCBANK.NS-00010,HDFCBANK.NS,BUY,2017-01-25,292.102521,171,entry_bb_breakout,,
HDFCBANK.NS-00010,HDFCBANK.NS,SELL,2017-02-09,293.404646,171,exit_max_hold,172.602541,0.345554
HDFCBANK.NS-00011,HDFCBANK.NS,BUY,2017-03-30,331.846199,150,entry_bb_breakout,,
HDFCBANK.NS-00011,HDFCBANK.NS,SELL,2017-04-03,324.053041,150,exit_atr_stop,-1218.1661,-2.44725
HDFCBANK.NS-00012,HDFCBANK.NS,BUY,2017-04-21,338.726652,147,entry_bb_breakout,,
HDFCBANK.NS-00012,HDFCBANK.NS,SELL,2017-05-08,347.025345,147,exit_max_hold,1169.505083,2.348743
HDFCBANK.NS-00013,HDFCBANK.NS,BUY,2017-07-24,395.315937,126,entry_bb_breakout,,
HDFCBANK.NS-00013,HDFCBANK.NS,SELL,2017-08-07,407.086486,126,exit_max_hold,1432.537781,2.876015
